timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.60500,0.59857,0.60500,0.59857,STARTED
0.143,0.60700,0.59571,0.60570,0.59757,STARTED
0.239,0.61000,0.58714,0.60720,0.59392,STARTED
0.334,0.61500,0.55143,0.60993,0.57905,STARTED
0.431,0.61700,0.52000,0.61241,0.55838,STARTED
0.544,0.61800,0.50714,0.61436,0.54045,STARTED
0.640,0.61900,0.50571,0.61599,0.52829,STARTED
0.736,0.61800,0.50143,0.61669,0.51889,STARTED
0.831,0.62000,0.49857,0.61785,0.51178,STARTED
0.944,0.61600,0.51286,0.61720,0.51216,STARTED
1.039,0.61300,0.54857,0.61573,0.52490,FAILED
