timestamp,hand_detected,cursor_held,finger_mode,index_extended,middle_extended,raw_x,raw_y,virtual_x,virtual_y,inside_window,inside_interaction,state,target_block
8855.812,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8856.916,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8857.078,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8857.283,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8857.390,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8857.571,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8857.683,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8857.874,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8858.080,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8858.276,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8858.378,True,False,ONE_FINGER,True,True,0.58439,0.55832,584,787,False,True,TRACKING,
8858.490,True,False,ONE_FINGER,True,True,0.55717,0.44375,557,626,True,True,TRACKING,
8858.674,True,False,ONE_FINGER,True,True,0.50499,0.37567,504,530,True,True,TRACKING,
8858.881,True,False,ONE_FINGER,True,True,0.52356,0.34931,523,492,True,True,TRACKING,
8859.073,True,False,ONE_FINGER,True,True,0.51854,0.33313,518,470,True,True,TRACKING,
8859.280,True,False,ONE_FINGER,True,True,0.59481,0.17264,594,243,True,True,TRACKING,
8859.473,True,False,ONE_FINGER,True,True,0.55450,0.31036,554,438,True,True,BLOCK_HOVER,wood_5
8859.681,True,False,ONE_FINGER,True,True,0.47275,0.42829,472,604,True,True,TRACKING,
8859.874,True,False,ONE_FINGER,True,True,0.47880,0.38664,478,545,True,True,TRACKING,
8860.081,True,False,ONE_FINGER,True,True,0.48737,0.34141,487,481,True,True,TRACKING,
8860.274,True,False,ONE_FINGER,True,True,0.50149,0.29741,501,419,True,True,BLOCK_HOVER,wood_5
8860.483,True,False,ONE_FINGER,True,True,0.49992,0.30332,499,428,True,True,BLOCK_ARMED,wood_5
8860.674,True,False,ONE_FINGER,True,True,0.49739,0.30544,497,431,True,True,BLOCK_ARMED,wood_5
8860.881,True,False,ONE_FINGER,True,True,0.50499,0.25903,504,365,True,True,BLOCK_ARMED,wood_5
8861.073,True,False,ONE_FINGER,True,True,0.54134,0.24202,541,341,True,True,SWIPING,wood_5
8861.283,True,False,ONE_FINGER,True,True,0.54786,0.24136,547,340,True,True,SWIPING,wood_5
8861.474,True,False,ONE_FINGER,True,True,0.54473,0.24731,544,349,True,True,SWIPING,wood_5
8861.682,True,False,ONE_FINGER,True,True,0.54581,0.24446,545,345,True,True,SWIPING,wood_5
8861.875,True,False,ONE_FINGER,True,True,0.54461,0.25515,544,360,True,True,SWIPING,wood_5
8862.082,True,False,ONE_FINGER,True,True,0.54490,0.26168,544,369,True,True,SWIPING,wood_5
8862.273,True,False,ONE_FINGER,True,True,0.53696,0.32616,536,460,True,True,SWIPING,wood_5
8862.482,True,False,ONE_FINGER,True,True,0.53296,0.33198,532,468,True,True,SWIPING,wood_5
8862.674,True,False,ONE_FINGER,True,True,0.53056,0.35150,530,496,True,True,SWIPING,wood_5
8862.881,True,False,ONE_FINGER,True,True,0.52280,0.34731,522,490,True,True,SWIPING,wood_5
8863.073,True,False,ONE_FINGER,True,True,0.52203,0.31730,522,447,True,True,SWIPING,wood_5
8863.282,True,False,ONE_FINGER,True,True,0.51924,0.28874,519,407,True,True,SWIPING,wood_5
8863.473,True,False,ONE_FINGER,True,True,0.51990,0.26028,519,367,True,True,SWIPING,wood_5
8863.685,True,False,ONE_FINGER,True,True,0.52923,0.22019,529,310,True,True,FAILED,wood_5
8863.873,True,False,ONE_FINGER,True,True,0.53023,0.22449,530,316,True,True,FAILED,wood_5
8864.081,True,False,ONE_FINGER,True,True,0.51691,0.31243,516,440,True,True,BLOCK_HOVER,wood_5
8864.274,True,False,ONE_FINGER,True,True,0.52362,0.37059,523,523,True,True,TRACKING,
8864.483,True,False,ONE_FINGER,True,True,0.52880,0.36476,528,514,True,True,TRACKING,
8864.674,True,False,ONE_FINGER,True,True,0.53163,0.39047,531,551,True,True,TRACKING,
8864.881,True,False,ONE_FINGER,True,True,0.52693,0.37697,526,532,True,True,TRACKING,
8865.073,True,False,ONE_FINGER,True,True,0.52251,0.34975,522,493,True,True,TRACKING,
8865.281,True,False,ONE_FINGER,True,True,0.52315,0.34695,523,489,True,True,TRACKING,
8865.474,True,False,ONE_FINGER,True,True,0.52742,0.35568,527,501,True,True,TRACKING,
8865.681,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8865.873,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8866.081,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8866.273,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8866.482,True,False,ONE_FINGER,True,True,0.47894,0.48197,478,680,True,True,TRACKING,
8866.674,True,False,ONE_FINGER,True,True,0.49076,0.39300,490,554,True,True,TRACKING,
8866.883,True,False,ONE_FINGER,True,True,0.49898,0.33281,498,469,True,True,TRACKING,
8867.072,True,False,ONE_FINGER,True,True,0.51448,0.29432,514,415,True,True,BLOCK_HOVER,wood_5
8867.280,True,False,ONE_FINGER,True,True,0.51794,0.29047,517,409,True,True,BLOCK_HOVER,wood_5
8867.473,True,False,ONE_FINGER,True,True,0.51755,0.29998,517,423,True,True,BLOCK_ARMED,wood_5
8867.681,True,False,ONE_FINGER,True,True,0.51757,0.30404,517,429,True,True,BLOCK_ARMED,wood_5
8867.871,True,False,ONE_FINGER,True,True,0.51106,0.32751,511,462,True,True,BLOCK_ARMED,wood_5
8868.081,True,False,ONE_FINGER,True,True,0.51390,0.32457,513,458,True,True,TRACKING,
8868.273,True,False,ONE_FINGER,True,True,0.51474,0.32307,514,455,True,True,TRACKING,
8868.480,True,False,ONE_FINGER,True,True,0.51545,0.31824,515,449,True,True,TRACKING,
8868.672,True,False,ONE_FINGER,True,True,0.51101,0.31231,511,440,True,True,TRACKING,
8868.880,True,False,ONE_FINGER,True,True,0.51100,0.32232,511,454,True,True,TRACKING,
8869.072,True,False,ONE_FINGER,True,True,0.50962,0.32342,509,456,True,True,TRACKING,
8869.280,True,False,ONE_FINGER,True,True,0.49487,0.36741,494,518,True,True,TRACKING,
8869.472,True,False,ONE_FINGER,True,True,0.47559,0.40109,475,566,True,True,TRACKING,
8869.680,True,False,ONE_FINGER,True,True,0.48159,0.41390,481,584,True,True,TRACKING,
8869.872,True,False,ONE_FINGER,True,True,0.50487,0.39699,504,560,True,True,TRACKING,
8870.081,True,False,ONE_FINGER,True,True,0.53232,0.38717,532,546,True,True,TRACKING,
8870.272,True,False,ONE_FINGER,True,True,0.57539,0.43497,575,613,True,True,TRACKING,
8870.480,True,False,ONE_FINGER,True,True,0.59453,0.44860,594,633,True,True,TRACKING,
8870.673,True,False,ONE_FINGER,True,True,0.60240,0.41836,602,590,True,True,TRACKING,
8870.881,True,False,ONE_FINGER,True,True,0.60303,0.34048,603,480,True,True,TRACKING,
8871.074,True,False,ONE_FINGER,True,True,0.58308,0.28936,583,408,True,True,BLOCK_HOVER,wood_5
8871.280,True,False,ONE_FINGER,True,True,0.56144,0.30982,561,437,True,True,BLOCK_ARMED,wood_5
8871.471,True,False,ONE_FINGER,True,True,0.55026,0.30276,550,427,True,True,BLOCK_ARMED,wood_5
8871.682,True,False,ONE_FINGER,True,True,0.54748,0.32967,547,465,True,True,BLOCK_ARMED,wood_5
